id,title,category,note,desc,date,children,level,img
11,Timeline,Project,A tool to showcase your work,"Created a local-app to showcase a history of achivements including projects, skills and events in form of nested cards with timeline updating for each card upon scroll.","1 Sep, 25",[],0,
12,Learnt Containerization and Orchestration,Study,Using containers for quick and scalable deployment.,"End-to-end containerization & orchestration: built images with multi-stage Dockerfiles, used Compose for multi-service dev, then deployed a sample stack on Kubernetes (Pods, Deployments, Services) with CI building/pushing images.","19 Jun, 25","[13, 14]",0,https://ctf-cci-com.imgix.net/7cbTebjb42sBv14Vsp27TZ/e1d5577ad8c8d2632950cb78a25fe74a/rba-docker-Image.jpg?ixlib=rb-3.2.1&w=2000&auto=format&fit=max&q=60
13,Docker Containers,Study,Docker containers,"Packaged apps into Docker images, optimized with multi-stage builds, managed env vars/volumes/networks, and ran local stacks via docker-compose (API + DB).","20 Feb, 25",[],1,https://www.pedroalonso.net/static/b3ec2afb11130f982251a7282ede99f2/dac54/docker-thumb.jpg
14,Kubernetes,Study,Kubernetes,"Ran the stack on Kubernetes: Deployments & Services with Ingress, ConfigMaps/Secrets, basic autoscaling (HPA), and rollout/health checks using kubectl and logs.","6 May, 25",[],1,https://a.storyblok.com/f/189401/1080x608/daa7ee5484/what_is_k8s.png
15,Learnt Containerization and Orchestration,Study,Using containers for quick and scalable deployment.,"End-to-end containerization & orchestration: built images with multi-stage Dockerfiles, used Compose for multi-service dev, then deployed a sample stack on Kubernetes (Pods, Deployments, Services) with CI building/pushing images.","10 Jan, 25",[],0,https://ctf-cci-com.imgix.net/7cbTebjb42sBv14Vsp27TZ/e1d5577ad8c8d2632950cb78a25fe74a/rba-docker-Image.jpg?ixlib=rb-3.2.1&w=2000&auto=format&fit=max&q=60
16,Learnt Containerization and Orchestration,Study,Using containers for quick and scalable deployment.,"End-to-end containerization & orchestration: built images with multi-stage Dockerfiles, used Compose for multi-service dev, then deployed a sample stack on Kubernetes (Pods, Deployments, Services) with CI building/pushing images.","08 Jan, 25",[],0,https://ctf-cci-com.imgix.net/7cbTebjb42sBv14Vsp27TZ/e1d5577ad8c8d2632950cb78a25fe74a/rba-docker-Image.jpg?ixlib=rb-3.2.1&w=2000&auto=format&fit=max&q=60
17,Learnt Containerization and Orchestration,Study,Using containers for quick and scalable deployment.,"End-to-end containerization & orchestration: built images with multi-stage Dockerfiles, used Compose for multi-service dev, then deployed a sample stack on Kubernetes (Pods, Deployments, Services) with CI building/pushing images.","22 Oct, 24",[],0,https://ctf-cci-com.imgix.net/7cbTebjb42sBv14Vsp27TZ/e1d5577ad8c8d2632950cb78a25fe74a/rba-docker-Image.jpg?ixlib=rb-3.2.1&w=2000&auto=format&fit=max&q=60
18,Learnt Containerization and Orchestration,Study,Using containers for quick and scalable deployment.,"End-to-end containerization & orchestration: built images with multi-stage Dockerfiles, used Compose for multi-service dev, then deployed a sample stack on Kubernetes (Pods, Deployments, Services) with CI building/pushing images.","31 Aug, 24",[],0,https://ctf-cci-com.imgix.net/7cbTebjb42sBv14Vsp27TZ/e1d5577ad8c8d2632950cb78a25fe74a/rba-docker-Image.jpg?ixlib=rb-3.2.1&w=2000&auto=format&fit=max&q=60
19,Learnt Containerization and Orchestration,Study,Using containers for quick and scalable deployment.,"End-to-end containerization & orchestration: built images with multi-stage Dockerfiles, used Compose for multi-service dev, then deployed a sample stack on Kubernetes (Pods, Deployments, Services) with CI building/pushing images.","10 Mar, 24",[],0,https://ctf-cci-com.imgix.net/7cbTebjb42sBv14Vsp27TZ/e1d5577ad8c8d2632950cb78a25fe74a/rba-docker-Image.jpg?ixlib=rb-3.2.1&w=2000&auto=format&fit=max&q=60
20,Learnt Containerization and Orchestration,Study,Using containers for quick and scalable deployment.,"End-to-end containerization & orchestration: built images with multi-stage Dockerfiles, used Compose for multi-service dev, then deployed a sample stack on Kubernetes (Pods, Deployments, Services) with CI building/pushing images.","03 Mar, 24",[],0,https://ctf-cci-com.imgix.net/7cbTebjb42sBv14Vsp27TZ/e1d5577ad8c8d2632950cb78a25fe74a/rba-docker-Image.jpg?ixlib=rb-3.2.1&w=2000&auto=format&fit=max&q=60
